zipcode,city,county,population
47585,Stendal,Pike County,800
47016,Cedar Grove,Franklin County,796
47011,Bennington,Switzerland County,788
47833,Bowling Green,Clay County,761
46731,Craigville,Wells County,759
47535,Freelandville,Knox County,758
46365,Mill Creek,La Porte County,755
47335,Dublin,Wayne County,753
46340,Hanna,La Porte County,742
46990,Urbana,Wabash County,741
47120,Fredericksburg,Washington County,741
46766,Liberty Center,Wells County,737
47244,Hartsville,Bartholomew County,734
47387,Straughn,Henry County,730
46781,Poneto,Wells County,728
47942,Earl Park,Benton County,728
47858,Lewis,Vigo County,724
47612,Cynthiana,Posey County,715
47578,Sandborn,Knox County,710
46915,Burlington,Carroll County,694
47521,Celestine,Dubois County,692
47453,Owensburg,Greene County,683
47116,Eckerty,Crawford County,681
47967,New Richmond,Montgomery County,680
47929,Chalmers,White County,673
47975,Pine Village,Warren County,664
47325,Brownsville,Union County,663
47861,Merom,Sullivan County,663
47427,Coal City,Owen County,662
46175,Russellville,Putnam County,646
47588,Troy,Spencer County,615
47866,Pimento,Vigo County,613
47524,Decker,Knox County,612
47854,Hillsdale,Vermillion County,612
47965,New Market,Montgomery County,599
46957,Matthews,Grant County,592
46110,Boggstown,Shelby County,583
46950,Lucerne,Cass County,566
46063,Orestes,Madison County,565
47550,Lamar,Spencer County,561
47351,Kennard,Henry County,540
47846,Cory,Clay County,532
47270,Paris Crossing,Jennings County,530
47855,Hymera,Sullivan County,526
47224,Canaan,Jefferson County,520
47465,Switz City,Greene County,520
46301,Beverly Shores,Porter County,516
46039,Forest,Clinton County,508
46759,Keystone,Wells County,508
47528,Edwardsport,Knox County,504
47849,Fairbanks,Sullivan County,502
47339,Economy,Wayne County,497
47917,Ambia,Benton County,492
47017,Cross Plains,Ripley County,481
46958,Mexico,Miami County,458
47708,Evansville,Vanderburgh County,445
47420,Avoca,Lawrence County,439
47522,Crane,Martin County,437
46537,Lapaz,Marshall County,425
47860,Mecca,Parke County,425
47857,Knightsville,Clay County,420
47110,Central,Harrison County,417
46146,Homer,Rush County,416
47590,Velpen,Pike County,413
47580,Schnellville,Dubois County,406
47449,Newberry,Greene County,400
47966,Newport,Vermillion County,359
47876,Saint Mary Of The Woods,Vigo County,348
47576,Saint Croix,Perry County,341
47388,Sulphur Springs,Henry County,335
46377,Shelby,Lake County,332
47881,Staunton,Clay County,329
47114,Crandall,Harrison County,328
47871,Riley,Vigo County,321
46162,Needham,Johnson County,314
47994,Wingate,Montgomery County,309
47983,Stockwell,Tippecanoe County,303
46393,Wheeler,Porter County,296
47863,New Goshen,Vigo County,294
47282,Vernon,Jennings County,293
46127,Falmouth,Rush County,287
47525,Derby,Perry County,281
47552,Lincoln City,Spencer County,270
47616,Griffin,Posey County,265
47226,Clifford,Bartholomew County,260
47263,New Point,Decatur County,255
47382,Saratoga,Randolph County,255
47035,New Trenton,Franklin County,246
46376,Schneider,Lake County,243
47683,Somerville,Gibson County,235
46799,Zanesville,Allen County,227
46998,Young America,Cass County,226
46943,Laketon,Wabash County,225
47010,Bath,Franklin County,220
47361,Mount Summit,Henry County,215
47574,Rome,Perry County,213
47464,Stinesville,Monroe County,212
46111,Brooklyn,Morgan County,196
47247,Jonesville,Bartholomew County,194
47457,Scotland,Greene County,192
46984,Somerset,Wabash County,188
46290,Indianapolis,Hamilton County,187
46931,Fulton,Fulton County,187
47884,Universal,Vermillion County,185
46381,Thayer,Newton County,176
47982,State Line,Warren County,173
46345,Kingsbury,La Porte County,170
46961,New Waverly,Cass County,169
47467,Tunnelton,Lawrence County,167
46103,Amo,Hendricks County,162
46155,Mays,Rush County,162
47924,Buck Creek,Tippecanoe County,162
47437,Huron,Lawrence County,155
47324,Boston,Wayne County,149
46968,Ora,Starke County,142
47958,Mellott,Fountain County,140
47584,Spurgeon,Pike County,139
47337,Dunreith,Henry County,138
47034,Napoleon,Ripley County,135
47997,Yeoman,Carroll County,134
46144,Gwynneville,Shelby County,133
46595,Wyatt,St Joseph County,133
47925,Buffalo,White County,133
46930,Fowlerton,Grant County,126
47344,Greensboro,Henry County,124
47869,Prairie Creek,Vigo County,124
47123,Grantsburg,Crawford County,122
47381,Salamonia,Jay County,122
47853,Harmony,Clay County,121
46508,Burket,Kosciusko County,113
47160,New Middletown,Harrison County,113
47964,Mount Ayr,Newton County,110
47969,Newtown,Fountain County,109
46967,Onward,Cass County,97
47654,Mackey,Gibson County,92
46379,Sumava Resorts,Newton County,81
47880,Shepardsville,Vigo County,78
47455,Patricksburg,Owen County,76
46771,Mongo,Lagrange County,72
47596,Westphalia,Knox County,71
46502,Atwood,Kosciusko County,58
47458,Smithville,Monroe County,58
47367,Oakville,Delaware County,57
46047,Hobbs,Tipton County,56
46125,Eminence,Morgan County,55
47865,Paxton,Sullivan County,55
47916,Alamo,Montgomery County,43
46045,Goldsmith,Tipton County,39
46786,South Milford,Lagrange County,39
46704,Arcola,Allen County,38
46946,Liberty Mills,Wabash County,34
46922,Delong,Fulton County,31
46183,West Newton,Marion County,15
20906,Silver Spring,Montgomery County,70749
21234,Parkville,Baltimore County,68381
20878,Gaithersburg,Montgomery County,63030
21740,Hagerstown,Washington County,61768
20874,Germantown,Montgomery County,61087
21122,Pasadena,Anne Arundel County,61051
21117,Owings Mills,Baltimore County,59301
21215,Baltimore,Baltimore City County,58283
20904,Silver Spring,Montgomery County,55275
21222,Dundalk,Baltimore County,55212
20744,Fort Washington,Prince Georges County,54925
21061,Glen Burnie,Anne Arundel County,53860
20850,Rockville,Montgomery County,53176
20902,Silver Spring,Montgomery County,52908
21206,Baltimore,Baltimore City County,52020
21224,Baltimore,Baltimore City County,49332
20854,Potomac,Montgomery County,49189
21207,Gwynn Oak,Baltimore County,48872
21228,Catonsville,Baltimore County,48196
21218,Baltimore,Baltimore City County,47555
21043,Ellicott City,Howard County,47351
20774,Upper Marlboro,Prince Georges County,47165
20852,Rockville,Montgomery County,46178
21921,Elkton,Cecil County,46162
21229,Baltimore,Baltimore City County,45921
20772,Upper Marlboro,Prince Georges County,45321
20783,Hyattsville,Prince Georges County,45302
20910,Silver Spring,Montgomery County,44301
21044,Columbia,Howard County,44256
20706,Lanham,Prince Georges County,43670
21502,Cumberland,Allegany County,42391
21221,Essex,Baltimore County,42078
21702,Frederick,Frederick County,41815
21042,Ellicott City,Howard County,41195
21220,Middle River,Baltimore County,41051
21804,Salisbury,Wicomico County,40877
20747,District Heights,Prince Georges County,40484
21045,Columbia,Howard County,40365
21236,Nottingham,Baltimore County,39707
20748,Temple Hills,Prince Georges County,38904
20785,Hyattsville,Prince Georges County,38878
20877,Gaithersburg,Montgomery County,38423
21401,Annapolis,Anne Arundel County,38315
20735,Clinton,Prince Georges County,38220
21093,Lutherville Timonium,Baltimore County,37996
20743,Capitol Heights,Prince Georges County,37888
21157,Westminster,Carroll County,37749
21703,Frederick,Frederick County,37473
21784,Sykesville,Carroll County,37365
20817,Bethesda,Montgomery County,37315
21701,Frederick,Frederick County,37017
21014,Bel Air,Harford County,36538
21244,Windsor Mill,Baltimore County,36394
20901,Silver Spring,Montgomery County,36278
20723,Laurel,Howard County,35411
21144,Severn,Anne Arundel County,35335
21208,Pikesville,Baltimore County,35266
21060,Glen Burnie,Anne Arundel County,34899
20886,Montgomery Village,Montgomery County,34834
21113,Odenton,Anne Arundel County,34473
21225,Brooklyn,Anne Arundel County,34363
21230,Baltimore,Baltimore City County,34274
21136,Reisterstown,Baltimore County,34177
21075,Elkridge,Howard County,33726
21217,Baltimore,Baltimore City County,33644
21227,Halethorpe,Baltimore County,33589
21742,Hagerstown,Washington County,33483
21212,Baltimore,Baltimore City County,33431
20782,Hyattsville,Prince Georges County,33398
21133,Randallstown,Baltimore County,33299
20707,Laurel,Prince Georges County,32798
20603,Waldorf,Charles County,31975
21403,Annapolis,Anne Arundel County,31377
20740,College Park,Prince Georges County,31349
20853,Rockville,Montgomery County,31061
21213,Baltimore,Baltimore City County,31007
20876,Germantown,Montgomery County,30778
20815,Chevy Chase,Montgomery County,30664
21239,Baltimore,Baltimore City County,30424
20784,Hyattsville,Prince Georges County,30270
21216,Baltimore,Baltimore City County,30179
21237,Rosedale,Baltimore County,30129
21009,Abingdon,Harford County,29905
21771,Mount Airy,Frederick County,29901
21801,Salisbury,Wicomico County,29866
20721,Bowie,Prince Georges County,29730
21015,Bel Air,Harford County,29199
20814,Bethesda,Montgomery County,29021
21209,Baltimore,Baltimore City County,28309
20903,Silver Spring,Montgomery County,27973
20708,Laurel,Prince Georges County,27843
20745,Oxon Hill,Prince Georges County,27790
20705,Beltsville,Prince Georges County,27663
20715,Bowie,Prince Georges County,27556
21146,Severna Park,Anne Arundel County,27555
21114,Crofton,Anne Arundel County,27303
20746,Suitland,Prince Georges County,27041
20602,Waldorf,Charles County,26550
20832,Olney,Montgomery County,26437
20879,Gaithersburg,Montgomery County,26164
20912,Takoma Park,Montgomery County,26140
20601,Waldorf,Charles County,25517
21001,Aberdeen,Harford County,24752
20770,Greenbelt,Prince Georges County,24560
21030,Cockeysville,Baltimore County,24396
20653,Lexington Park,St. Marys County,24274
21040,Edgewood,Harford County,24166
21811,Berlin,Worcester County,24071
21601,Easton,Talbot County,23399
20659,Mechanicsville,St. Marys County,23312
20720,Bowie,Prince Georges County,22971
21223,Baltimore,Baltimore City County,22392
20737,Riverdale,Prince Georges County,22295
20716,Bowie,Prince Georges County,22237
20646,La Plata,Charles County,21951
21202,Baltimore,Baltimore City County,21784
21012,Arnold,Anne Arundel County,21600
21204,Towson,Baltimore County,21545
21214,Baltimore,Baltimore City County,21392
21037,Edgewater,Anne Arundel County,21046
21158,Westminster,Carroll County,20906
21286,Towson,Baltimore County,19849
20657,Lusby,Calvert County,19226
20895,Kensington,Montgomery County,19026
21108,Millersville,Anne Arundel County,18782
20905,Silver Spring,Montgomery County,18662
20871,Clarksburg,Montgomery County,18628
21078,Havre De Grace,Harford County,18366
21050,Forest Hill,Harford County,18123
20794,Jessup,Howard County,17939
20724,Laurel,Anne Arundel County,17513
21076,Hanover,Anne Arundel County,17442
21201,Baltimore,Baltimore City County,17256
21613,Cambridge,Dorchester County,17132
21704,Frederick,Frederick County,16887
21901,North East,Cecil County,16790
21211,Baltimore,Baltimore City County,16370
20866,Burtonsville,Montgomery County,16365
20816,Bethesda,Montgomery County,16316
21205,Baltimore,Baltimore City County,16239
21085,Joppa,Harford County,16055
21231,Baltimore,Baltimore City County,15854
20639,Huntingtown,Calvert County,15793
21046,Columbia,Howard County,15655
21210,Baltimore,Baltimore City County,15553
20851,Rockville,Montgomery County,15489
20855,Derwood,Montgomery County,15287
21074,Hampstead,Carroll County,15166
20619,California,St. Marys County,15052
21532,Frostburg,Allegany County,14726
20650,Leonardtown,St. Marys County,14672
21550,Oakland,Garrett County,14077
20613,Brandywine,Prince Georges County,14020
20882,Gaithersburg,Montgomery County,13988
21128,Perry Hall,Baltimore County,13985
21774,New Market,Frederick County,13092
21620,Chestertown,Kent County,12850
21666,Stevensville,Queen Annes County,12836
20872,Damascus,Montgomery County,12603
21047,Fallston,Harford County,12266
20678,Prince Frederick,Calvert County,12261
21853,Princess Anne,Somerset County,11957
21788,Thurmont,Frederick County,11910
21102,Manchester,Carroll County,11787
20781,Hyattsville,Prince Georges County,11694
21769,Middletown,Frederick County,11629
20841,Boyds,Montgomery County,11443
21054,Gambrills,Anne Arundel County,11199
21911,Rising Sun,Cecil County,11130
21029,Clarksville,Howard County,10895
20755,Fort George G Meade,Anne Arundel County,10873
20607,Accokeek,Prince Georges County,10843
20636,Hollywood,St. Marys County,10805
21713,Boonsboro,Washington County,10728
21842,Ocean City,Worcester County,10655
21617,Centreville,Queen Annes County,10570
21793,Walkersville,Frederick County,10416
20640,Indian Head,Charles County,10333
21048,Finksburg,Carroll County,10276
21787,Taneytown,Carroll County,10173
21090,Linthicum Heights,Anne Arundel County,9991
20732,Chesapeake Beach,Calvert County,9820
20712,Mount Rainier,Prince Georges County,9608
20710,Bladensburg,Prince Georges County,9553
21219,Sparrows Point,Baltimore County,9550
21629,Denton,Caroline County,9396
20736,Owings,Calvert County,9248
21795,Williamsport,Washington County,9147
21783,Smithsburg,Washington County,8894
21797,Woodbine,Carroll County,8873
20695,White Plains,Charles County,8089
21032,Crownsville,Anne Arundel County,8084
21035,Davidsonville,Anne Arundel County,7957
21084,Jarrettsville,Harford County,7603
20711,Lothian,Anne Arundel County,7413
20833,Brookeville,Montgomery County,7369
21131,Phoenix,Baltimore County,7282
20754,Dunkirk,Calvert County,7124
21120,Parkton,Baltimore County,7095
21904,Port Deposit,Cecil County,7075
21163,Woodstock,Baltimore County,7030
21017,Belcamp,Harford County,6983
21851,Pocomoke City,Worcester County,6949
20685,Saint Leonard,Calvert County,6942
20622,Charlotte Hall,St. Marys County,6887
21727,Emmitsburg,Frederick County,6792
20742,College Park,Prince Georges County,6726
21875,Delmar,Wicomico County,6676
21402,Annapolis,Anne Arundel County,6669
21754,Ijamsville,Frederick County,6667
20634,Great Mills,St. Marys County,6478
20616,Bryans Road,Charles County,6389
20837,Poolesville,Montgomery County,6287
21226,Curtis Bay,Anne Arundel County,6247
20769,Glenn Dale,Prince Georges County,6222
21632,Federalsburg,Caroline County,6078
21619,Chester,Queen Annes County,5964
21903,Perryville,Cecil County,5947
21643,Hurlock,Dorchester County,5864
21154,Street,Harford County,5804
21104,Marriottsville,Carroll County,5762
20637,Hughesville,Charles County,5751
21722,Clear Spring,Washington County,5748
20722,Brentwood,Prince Georges County,5728
21755,Jefferson,Frederick County,5603
21161,White Hall,Harford County,5601
21776,New Windsor,Carroll County,5516
21770,Monrovia,Frederick County,5513
21152,Sparks Glencoe,Baltimore County,5462
21773,Myersville,Frederick County,5431
21087,Kingsville,Baltimore County,5394
21111,Monkton,Baltimore County,5387
21826,Fruitland,Wicomico County,5325
20759,Fulton,Howard County,5311
21639,Greensboro,Caroline County,5279
21791,Union Bridge,Carroll County,5245
21638,Grasonville,Queen Annes County,5130
21758,Knoxville,Frederick County,5127
21716,Brunswick,Frederick County,5078
21710,Adamstown,Frederick County,4859
21013,Baldwin,Baltimore County,4768
21655,Preston,Caroline County,4747
20714,North Beach,Calvert County,4683
21863,Snow Hill,Worcester County,4657
21817,Crisfield,Somerset County,4515
21782,Sharpsburg,Washington County,4495
21162,White Marsh,Baltimore County,4331
21660,Ridgely,Caroline County,4292
21057,Glen Arm,Baltimore County,4232
21536,Grantsville,Garrett County,4123
21830,Hebron,Wicomico County,4060
21658,Queenstown,Queen Annes County,3987
20676,Port Republic,Calvert County,3848
20764,Shady Side,Anne Arundel County,3829
21738,Glenwood,Howard County,3827
21750,Hancock,Washington County,3694
21918,Conowingo,Cecil County,3692
20777,Highland,Howard County,3687
21849,Parsonsburg,Wicomico County,3577
21140,Riva,Anne Arundel County,3564
21562,Westernport,Allegany County,3519
21034,Darlington,Harford County,3483
20664,Newburg,Charles County,3462
21663,Saint Michaels,Talbot County,3424
20776,Harwood,Anne Arundel County,3271
21673,Trappe,Talbot County,3270
21132,Pylesville,Harford County,3232
21053,Freeland,Baltimore County,3225
21837,Mardela Springs,Wicomico County,3200
20762,Andrews Air Force Base,Prince Georges County,3079
21756,Keedysville,Washington County,3056
21746,Hagerstown,Washington County,3008
20623,Cheltenham,Prince Georges County,2997
21915,Chesapeake City,Cecil County,2949
21850,Pittsville,Wicomico County,2935
21160,Whiteford,Harford County,2933
21919,Earleville,Cecil County,2919
21651,Millington,Kent County,2894
20662,Nanjemoy,Charles County,2876
21005,Aberdeen Proving Ground,Harford County,2872
20860,Sandy Spring,Montgomery County,2855
21890,Westover,Somerset County,2816
21631,East New Market,Dorchester County,2814
21757,Keymar,Carroll County,2793
21028,Churchville,Harford County,2783
20733,Churchton,Anne Arundel County,2777
21813,Bishopville,Worcester County,2672
21539,Lonaconing,Allegany County,2606
21625,Cordova,Talbot County,2583
21155,Upperco,Baltimore County,2532
21661,Rock Hall,Kent County,2487
21561,Swanton,Garrett County,2464
21737,Glenelg,Howard County,2462
20677,Port Tobacco,Charles County,2416
21252,Baltimore,Baltimore County,2383
21250,Baltimore,Baltimore County,2367
21794,West Friendship,Howard County,2277
21520,Accident,Garrett County,2200
21871,Westover,Somerset County,2198
21917,Colora,Cecil County,2127
21036,Dayton,Howard County,2112
20751,Deale,Anne Arundel County,2091
20689,Sunderland,Calvert County,2081
20778,West River,Anne Arundel County,2079
21798,Woodsboro,Frederick County,2057
20675,Pomfret,Charles County,2017
21623,Church Hill,Queen Annes County,1989
21635,Galena,Kent County,1983
20818,Cabin John,Montgomery County,1971
21649,Marydel,Caroline County,1935
21874,Willards,Wicomico County,1874
21531,Friendsville,Garrett County,1868
21777,Point Of Rocks,Frederick County,1868
21530,Flintstone,Allegany County,1859
21678,Worton,Kent County,1842
21668,Sudlersville,Queen Annes County,1816
20686,Saint Marys City,St. Marys County,1775
20688,Solomons,Calvert County,1749
21545,Mount Savage,Allegany County,1740
21822,Eden,Worcester County,1687
20842,Dickerson,Montgomery County,1676
21838,Marion Station,Somerset County,1657
20763,Savage,Howard County,1635
20611,Bel Alton,Charles County,1634
21780,Sabillasville,Frederick County,1614
21555,Oldtown,Allegany County,1586
21841,Newark,Worcester County,1580
21640,Henderson,Caroline County,1499
20861,Ashton,Montgomery County,1449
20670,Patuxent River,St. Marys County,1441
21541,Mc Henry,Garrett County,1421
21557,Rawlings,Allegany County,1410
20624,Clements,St. Marys County,1409
20620,Callaway,St. Marys County,1369
21659,Rhodesdale,Dorchester County,1356
21645,Kennedyville,Kent County,1261
20609,Avenue,St. Marys County,1151
21869,Vienna,Dorchester County,1145
21912,Warwick,Cecil County,1139
21521,Barton,Allegany County,1102
21711,Big Pool,Washington County,1076
20684,Saint Inigoes,St. Marys County,1066
21779,Rohrersville,Washington County,1032
21636,Goldsboro,Caroline County,1015
21719,Cascade,Washington County,1002
20779,Tracys Landing,Anne Arundel County,993
21654,Oxford,Talbot County,986
21671,Tilghman,Talbot County,984
21251,Baltimore,Baltimore County,965
20621,Chaptico,St. Marys County,960
20680,Ridge,St. Marys County,934
21657,Queen Anne,Queen Annes County,910
21778,Rocky Ridge,Frederick County,909
20690,Tall Timbers,St. Marys County,905
20692,Valley Lee,St. Marys County,899
21733,Fairplay,Washington County,897
21913,Cecilton,Cecil County,880
21856,Quantico,Wicomico County,875
21821,Deal Island,Somerset County,871
20608,Aquasco,Prince Georges County,860
21914,Charlestown,Cecil County,860
21622,Church Creek,Dorchester County,854
20658,Marbury,Charles County,848
20674,Piney Point,St. Marys County,848
20693,Welcome,Charles County,833
20617,Bryantown,Charles County,832
21734,Funkstown,Washington County,816
21810,Allen,Wicomico County,814
20868,Spencerville,Montgomery County,780
20896,Garrett Park,Montgomery County,775
21524,Corriganville,Allegany County,775
21723,Cooksville,Howard County,759
20645,Issue,Charles County,749
21607,Barclay,Queen Annes County,737
21861,Sharptown,Wicomico County,689
21542,Midland,Allegany County,687
21082,Hydes,Baltimore County,656
21767,Maugansville,Washington County,650
20625,Cobb Island,Charles County,646
20667,Park Hall,St. Marys County,633
21865,Tyaskin,Wicomico County,594
21071,Glyndon,Baltimore County,581
21864,Stockton,Worcester County,548
20880,Washington Grove,Montgomery County,547
21920,Elk Mills,Cecil County,491
21766,Little Orleans,Allegany County,483
20628,Dameron,St. Marys County,477
20758,Friendship,Anne Arundel County,451
20687,Scotland,St. Marys County,448
21628,Crumpton,Queen Annes County,448
21153,Stevenson,Baltimore County,447
21677,Woolford,Dorchester County,446
21664,Secretary,Dorchester County,445
21840,Nanticoke,Wicomico County,438
21529,Ellerslie,Allegany County,434
21610,Betterton,Kent County,433
20632,Faulkner,Charles County,432
21676,Wittman,Talbot County,424
20615,Broomes Island,Calvert County,421
21662,Royal Oak,Talbot County,418
21538,Kitzmiller,Garrett County,410
20765,Galesville,Anne Arundel County,407
20618,Bushwood,St. Marys County,406
21829,Girdletree,Worcester County,401
20629,Dowell,Calvert County,383
21612,Bozman,Talbot County,381
21872,Whaleyville,Worcester County,379
20606,Abell,St. Marys County,374
20862,Brinklow,Montgomery County,341
21405,Annapolis,Anne Arundel County,337
21835,Linkwood,Dorchester County,337
21156,Upper Falls,Baltimore County,316
20812,Glen Echo,Montgomery County,309
20626,Coltons Point,St. Marys County,304
20838,Barnesville,Montgomery County,302
20630,Drayden,St. Marys County,301
20899,Gaithersburg,Montgomery County,295
21051,Fork,Baltimore County,295
21667,Still Pond,Kent County,292
21679,Wye Mills,Talbot County,289
21647,Mcdaniel,Talbot County,288
21077,Harmans,Anne Arundel County,276
21543,Midlothian,Allegany County,276
21814,Bivalve,Wicomico County,268
21669,Taylors Island,Dorchester County,254
21650,Massey,Kent County,246
21522,Bittinger,Garrett County,233
21714,Braddock Heights,Frederick County,216
21665,Sherwood,Talbot County,215
21902,Perry Point,Cecil County,215
21010,Gunpowder,Harford County,211
21052,Fort Howard,Baltimore County,211
20612,Benedict,Charles County,203
21762,Libertytown,Frederick County,202
21634,Fishing Creek,Dorchester County,198
21523,Bloomington,Garrett County,188
21624,Claiborne,Talbot County,175
21648,Madison,Dorchester County,175
21672,Toddville,Dorchester County,161
21056,Gibson Island,Anne Arundel County,158
21790,Tuscarora,Frederick County,157
21130,Perryman,Harford County,156
21781,Saint James,Washington County,153
21718,Burkittsville,Frederick County,151
21653,Newcomb,Talbot County,143
21930,Georgetown,Cecil County,132
21652,Neavitt,Talbot County,118
21540,Luke,Allegany County,102
21824,Ewell,Somerset County,101
20839,Beallsville,Montgomery County,97
20701,Annapolis Junction,Howard County,92
21644,Ingleside,Queen Annes County,90
21675,Wingate,Dorchester County,90
21802,Salisbury,Wicomico County,90
21862,Showell,Worcester County,90
21641,Hillsboro,Caroline County,88
21717,Buckeystown,Frederick County,77
21626,Crapo,Dorchester County,60
21866,Tylerton,Somerset County,48
21916,Childs,Cecil County,44
21867,Upper Fairmount,Somerset County,23
21705,Frederick,Frederick County,3
63376,St. Peters,St. Charles County,75395
65807,Springfield,Greene County,58103
65203,Columbia,Boone County,57364
63021,Ballwin,St. Louis County,57112
63129,St. Louis,St. Louis County,52975
63301,St. Charles,St. Charles County,51199
63123,St. Louis,St. Louis County,50783
63366,O Fallon,St. Charles County,50402
63303,St. Charles,St. Charles County,48363
63031,Florissant,St. Louis County,47748
65202,Columbia,Boone County,47721
65802,Springfield,Greene County,47378
65201,Columbia,Boone County,47090
63385,Wentzville,St. Charles County,44844
63136,St. Louis,St. Louis County,44382
63026,Fenton,St. Louis County,44333
63116,St. Louis,St. Louis City County,43897
64118,Kansas City,Clay County,42952
63033,Florissant,St. Louis County,42544
65803,Springfield,Greene County,41316
63017,Chesterfield,St. Louis County,41262
63304,St. Charles,St. Charles County,41223
65109,Jefferson City,Cole County,39188
63122,St. Louis,St. Louis County,39165
64068,Liberty,Clay County,38777
63701,Cape Girardeau,Cape Girardeau County,38672
63011,Ballwin,St. Louis County,38348
65804,Springfield,Greene County,37461
64801,Joplin,Jasper County,37001
63010,Arnold,Jefferson County,35888
64804,Joplin,Jasper County,35676
63901,Poplar Bluff,Butler County,35283
63114,St. Louis,St. Louis County,35005
64133,Kansas City,Jackson County,34958
63119,St. Louis,St. Louis County,34141
65301,Sedalia,Pettis County,33881
64055,Independence,Jackson County,33350
65401,Rolla,Phelps County,33162
65714,Nixa,Christian County,32932
63125,St. Louis,St. Louis County,32826
65721,Ozark,Christian County,31876
64015,Blue Springs,Jackson County,30754
63146,St. Louis,St. Louis County,30515
65101,Jefferson City,Cole County,30120
63128,St. Louis,St. Louis County,30023
63640,Farmington,St. Francois County,29252
65536,Lebanon,Laclede County,29238
64152,Kansas City,Platte County,29029
63130,St. Louis,St. Louis County,28738
64119,Kansas City,Clay County,28513
64093,Warrensburg,Johnson County,28276
63118,St. Louis,St. Louis City County,27817
65616,Branson,Taney County,27706
63052,Imperial,Jefferson County,27474
64012,Belton,Cass County,27384
64151,Kansas City,Platte County,27061
63109,St. Louis,St. Louis City County,26983
63028,Festus,Jefferson County,26874
64014,Blue Springs,Jackson County,25490
64138,Kansas City,Jackson County,25417
63379,Troy,Lincoln County,25387
63367,Lake St. Louis,St. Charles County,25283
63755,Jackson,Cape Girardeau County,25034
64030,Grandview,Jackson County,24983
65775,West Plains,Howell County,24860
64114,Kansas City,Jackson County,24548
64081,Lees Summit,Jackson County,24507
64506,St. Joseph,Buchanan County,24180
64155,Kansas City,Clay County,23905
64836,Carthage,Jasper County,23882
64850,Neosho,Newton County,23688
63121,St. Louis,St. Louis County,23561
64083,Raymore,Cass County,23230
64134,Kansas City,Jackson County,23219
64086,Lees Summit,Jackson County,22940
64131,Kansas City,Jackson County,22676
65810,Springfield,Greene County,22652
63801,Sikeston,Scott County,22636
64050,Independence,Jackson County,22614
63043,Maryland Heights,St. Louis County,22582
63090,Washington,Franklin County,22463
63135,St. Louis,St. Louis County,22450
63401,Hannibal,Marion County,22048
65251,Fulton,Callaway County,21912
63139,St. Louis,St. Louis City County,21874
63111,St. Louis,St. Louis City County,21389
63501,Kirksville,Adair County,20954
64052,Independence,Jackson County,20854
63108,St. Louis,St. Louis City County,20564
63020,De Soto,Jefferson County,20459
63141,St. Louis,St. Louis County,20411
64130,Kansas City,Jackson County,20170
64063,Lees Summit,Jackson County,20102
63137,St. Louis,St. Louis County,20097
64157,Kansas City,Clay County,20051
63104,St. Louis,St. Louis City County,19565
65738,Republic,Greene County,19253
63084,Union,Franklin County,19186
63042,Hazelwood,St. Louis County,19067
64064,Lees Summit,Jackson County,18771
63105,St. Louis,St. Louis County,18574
64029,Grain Valley,Jackson County,18307
63138,St. Louis,St. Louis County,18226
65613,Bolivar,Polk County,18120
63005,Chesterfield,St. Louis County,18083
63034,Florissant,St. Louis County,18058
64111,Kansas City,Jackson County,17942
63131,St. Louis,St. Louis County,17872
63112,St. Louis,St. Louis City County,17745
63115,St. Louis,St. Louis City County,17710
63049,High Ridge,Jefferson County,17314
63110,St. Louis,St. Louis City County,17313
65270,Moberly,Randolph County,17122
63775,Perryville,Perry County,17012
64082,Lees Summit,Jackson County,17004
64056,Independence,Jackson County,16718
64110,Kansas City,Jackson County,16619
64024,Excelsior Springs,Clay County,16517
65020,Camdenton,Camden County,16229
65706,Marshfield,Webster County,16162
65473,Fort Leonard Wood,Pulaski County,16026
65340,Marshall,Saline County,15919
64116,Kansas City,Clay County,15824
63050,Hillsboro,Jefferson County,15816
64127,Kansas City,Jackson County,15772
63383,Warrenton,Warren County,15643
63601,Park Hills,St. Francois County,15624
64468,Maryville,Nodaway County,15599
63074,St. Ann,St. Louis County,15338
64870,Webb City,Jasper County,15278
63628,Bonne Terre,St. Francois County,15268
64060,Kearney,Clay County,15092
65265,Mexico,Audrain County,15053
63069,Pacific,Franklin County,14872
63025,Eureka,St. Louis County,14740
63126,St. Louis,St. Louis County,14646
64079,Platte City,Platte County,14616
65560,Salem,Dent County,14443
64117,Kansas City,Clay County,14244
64701,Harrisonville,Cass County,14240
64057,Independence,Jackson County,14232
64132,Kansas City,Jackson County,14206
65708,Monett,Barry County,13773
63134,St. Louis,St. Louis County,13704
63051,House Springs,Jefferson County,13670
64505,St. Joseph,Buchanan County,13537
64507,St. Joseph,Buchanan County,13474
64089,Smithville,Clay County,13448
64772,Nevada,Vernon County,13406
63080,Sullivan,Franklin County,13389
63132,St. Louis,St. Louis County,13378
63841,Dexter,Stoddard County,13305
65742,Rogersville,Webster County,13264
64080,Pleasant Hill,Cass County,13212
64429,Cameron,Clinton County,12961
64735,Clinton,Henry County,12954
64075,Oak Grove,Jackson County,12638
65605,Aurora,Lawrence County,12590
65806,Springfield,Greene County,12438
64503,St. Joseph,Buchanan County,12425
65583,Waynesville,Pulaski County,12266
63857,Kennett,Dunklin County,12264
64113,Kansas City,Jackson County,12129
65233,Boonville,Cooper County,12070
