zipcode,city,county,population
91016,Monrovia,Los Angeles County,41105
94804,Richmond,Contra Costa County,40931
92253,La Quinta,Riverside County,40929
95991,Yuba City,Sutter County,40861
95628,Fair Oaks,Sacramento County,40855
91311,Chatsworth,Los Angeles County,40839
93706,Fresno,Fresno County,40586
90045,Los Angeles,Los Angeles County,40567
95404,Santa Rosa,Sonoma County,40497
93454,Santa Maria,Santa Barbara County,40432
90278,Redondo Beach,Los Angeles County,40252
90605,Whittier,Los Angeles County,40192
95835,Sacramento,Sacramento County,40170
91942,La Mesa,San Diego County,40151
92231,Calexico,Imperial County,40064
95926,Chico,Butte County,40000
90031,Los Angeles,Los Angeles County,39916
93552,Palmdale,Los Angeles County,39905
95833,Sacramento,Sacramento County,39905
91739,Rancho Cucamonga,San Bernardino County,39875
91401,Van Nuys,Los Angeles County,39755
95129,San Jose,Santa Clara County,39741
90005,Los Angeles,Los Angeles County,39732
92083,Vista,San Diego County,39509
91701,Rancho Cucamonga,San Bernardino County,39461
92806,Anaheim,Orange County,39442
93534,Lancaster,Los Angeles County,39367
90808,Long Beach,Los Angeles County,39330
92337,Fontana,San Bernardino County,39240
90804,Long Beach,Los Angeles County,39239
95765,Rocklin,Placer County,39214
90020,Los Angeles,Los Angeles County,39189
95301,Atwater,Merced County,39186
95337,Manteca,San Joaquin County,39177
92307,Apple Valley,San Bernardino County,39149
95826,Sacramento,Sacramento County,39145
95838,Sacramento,Sacramento County,39053
94061,Redwood City,San Mateo County,39023
94044,Pacifica,San Mateo County,38984
94611,Oakland,Alameda County,38975
90802,Long Beach,Los Angeles County,38962
91763,Montclair,San Bernardino County,38863
95401,Santa Rosa,Sonoma County,38839
92675,San Juan Capistrano,Orange County,38803
94954,Petaluma,Sonoma County,38763
94520,Concord,Contra Costa County,38753
95382,Turlock,Stanislaus County,38700
95050,Santa Clara,Santa Clara County,38699
95691,West Sacramento,Yolo County,38690
91776,San Gabriel,Los Angeles County,38664
93021,Moorpark,Ventura County,38581
93245,Lemoore,Kings County,38480
94555,Fremont,Alameda County,38478
92508,Riverside,Riverside County,38428
95205,Stockton,San Joaquin County,38350
92543,Hemet,Riverside County,38314
90301,Inglewood,Los Angeles County,38234
94606,Oakland,Alameda County,38220
92037,La Jolla,San Diego County,38168
95120,San Jose,Santa Clara County,38122
93711,Fresno,Fresno County,38007
90036,Los Angeles,Los Angeles County,37965
93305,Bakersfield,Kern County,37902
91104,Pasadena,Los Angeles County,37874
91001,Altadena,Los Angeles County,37818
95928,Chico,Butte County,37735
92821,Brea,Orange County,37712
91205,Glendale,Los Angeles County,37638
95121,San Jose,Santa Clara County,37531
92065,Ramona,San Diego County,37505
95825,Sacramento,Sacramento County,37473
92831,Fullerton,Orange County,37359
94590,Vallejo,Solano County,37280
95688,Vacaville,Solano County,37260
94588,Pleasanton,Alameda County,37253
90810,Long Beach,Los Angeles County,37251
90505,Torrance,Los Angeles County,37220
95993,Yuba City,Sutter County,37077
94404,San Mateo,San Mateo County,36985
95128,San Jose,Santa Clara County,36975
92869,Orange,Orange County,36846
91601,North Hollywood,Los Angeles County,36841
93705,Fresno,Fresno County,36808
91711,Claremont,Los Angeles County,36777
95062,Santa Cruz,Santa Cruz County,36737
95973,Chico,Butte County,36682
90029,Los Angeles,Los Angeles County,36668
91362,Thousand Oaks,Ventura County,36604
95476,Sonoma,Sonoma County,36586
90012,Los Angeles,Los Angeles County,36552
94040,Mountain View,Santa Clara County,36526
95667,Placerville,El Dorado County,36487
95820,Sacramento,Sacramento County,36437
90049,Los Angeles,Los Angeles County,36418
91326,Northridge,Los Angeles County,36339
95126,San Jose,Santa Clara County,36206
91350,Santa Clarita,Los Angeles County,36173
91340,San Fernando,Los Angeles County,36156
92139,San Diego,San Diego County,36105
93012,Camarillo,Ventura County,36052
94401,San Mateo,San Mateo County,36001
92883,Corona,Riverside County,35933
90062,Los Angeles,Los Angeles County,35916
93405,San Luis Obispo,San Luis Obispo County,35898
94603,Oakland,Alameda County,35862
95340,Merced,Merced County,35827
95821,Sacramento,Sacramento County,35812
92706,Santa Ana,Orange County,35748
94124,San Francisco,San Francisco County,35747
91752,Mira Loma,Riverside County,35694
92807,Anaheim,Orange County,35687
93657,Sanger,Fresno County,35666
90621,Buena Park,Orange County,35598
94952,Petaluma,Sonoma County,35503
90266,Manhattan Beach,Los Angeles County,35500
95660,North Highlands,Sacramento County,35461
92660,Newport Beach,Orange County,35446
95361,Oakdale,Stanislaus County,35308
92240,Desert Hot Springs,Riverside County,35278
92649,Huntington Beach,Orange County,35278
94583,San Ramon,Contra Costa County,35231
91768,Pomona,Los Angeles County,35191
93612,Clovis,Fresno County,35140
91780,Temple City,Los Angeles County,35133
94621,Oakland,Alameda County,35035
94523,Pleasant Hill,Contra Costa County,35005
93561,Tehachapi,Kern County,34979
94114,San Francisco,San Francisco County,34918
92394,Victorville,San Bernardino County,34915
94063,Redwood City,San Mateo County,34867
90260,Lawndale,Los Angeles County,34827
90277,Redondo Beach,Los Angeles County,34827
91206,Glendale,Los Angeles County,34739
92131,San Diego,San Diego County,34727
92103,San Diego,San Diego County,34700
92260,Palm Desert,Riverside County,34660
91722,Covina,Los Angeles County,34631
94115,San Francisco,San Francisco County,34604
91325,Northridge,Los Angeles County,34575
93955,Seaside,Monterey County,34566
96001,Redding,Shasta County,34293
92301,Adelanto,San Bernardino County,34250
92672,San Clemente,Orange County,34218
96002,Redding,Shasta County,34196
91750,La Verne,Los Angeles County,34129
91007,Arcadia,Los Angeles County,34116
91321,Newhall,Los Angeles County,34014
92551,Moreno Valley,Riverside County,34011
91773,San Dimas,Los Angeles County,34007
95348,Merced,Merced County,34002
93555,Ridgecrest,Kern County,33833
93060,Santa Paula,Ventura County,33773
92841,Garden Grove,Orange County,33754
92595,Wildomar,Riverside County,33649
91754,Monterey Park,Los Angeles County,33636
92881,Corona,Riverside County,33531
92220,Banning,Riverside County,33525
95842,Sacramento,Sacramento County,33522
91915,Chula Vista,San Diego County,33485
93422,Atascadero,San Luis Obispo County,33466
95901,Marysville,Yuba County,33455
92311,Barstow,San Bernardino County,33454
93710,Fresno,Fresno County,33448
90504,Torrance,Los Angeles County,33410
92116,San Diego,San Diego County,33408
91791,West Covina,Los Angeles County,33397
92373,Redlands,San Bernardino County,33353
92612,Irvine,Orange County,33234
90222,Compton,Los Angeles County,33200
91423,Sherman Oaks,Los Angeles County,33172
94526,Danville,Contra Costa County,33135
95341,Merced,Merced County,33090
90606,Whittier,Los Angeles County,32987
91006,Arcadia,Los Angeles County,32958
91604,Studio City,Los Angeles County,32910
93703,Fresno,Fresno County,32754
94545,Hayward,Alameda County,32724
91351,Canyon Country,Los Angeles County,32711
92583,San Jacinto,Riverside County,32697
90230,Culver City,Los Angeles County,32687
92679,Trabuco Canyon,Orange County,32657
95356,Modesto,Stanislaus County,32622
92124,San Diego,San Diego County,32600
91354,Valencia,Los Angeles County,32544
95358,Modesto,Stanislaus County,32524
91107,Pasadena,Los Angeles County,32503
92123,San Diego,San Diego County,32473
95118,San Jose,Santa Clara County,32421
93001,Ventura,Ventura County,32396
92596,Winchester,Riverside County,32256
93940,Monterey,Monterey County,32236
90807,Long Beach,Los Angeles County,32202
95662,Orangevale,Sacramento County,32172
90803,Long Beach,Los Angeles County,32126
95377,Tracy,San Joaquin County,32091
90601,Whittier,Los Angeles County,32053
94941,Mill Valley,Marin County,32009
94610,Oakland,Alameda County,31936
91941,La Mesa,San Diego County,31918
95632,Galt,Sacramento County,31911
90008,Los Angeles,Los Angeles County,31754
91303,Canoga Park,Los Angeles County,31586
94589,Vallejo,Solano County,31536
93004,Ventura,Ventura County,31525
95482,Ukiah,Mendocino County,31482
93618,Dinuba,Tulare County,31470
94107,San Francisco,San Francisco County,31461
94132,San Francisco,San Francisco County,31436
94102,San Francisco,San Francisco County,31392
93101,Santa Barbara,Santa Barbara County,31371
95661,Roseville,Placer County,31315
95131,San Jose,Santa Clara County,31236
92107,San Diego,San Diego County,31223
90712,Lakewood,Los Angeles County,31217
94801,Richmond,Contra Costa County,31210
95070,Saratoga,Santa Clara County,31196
94043,Mountain View,Santa Clara County,31161
92203,Indio,Riverside County,31140
94070,San Carlos,San Mateo County,31074
94608,Emeryville,Alameda County,31013
92173,San Ysidro,San Diego County,31000
91505,Burbank,Los Angeles County,30902
91214,La Crescenta,Los Angeles County,30787
